iter	RMSE
125	5.140513969
126	5.134056215
127	5.128643404
128	5.124400215
129	5.119827353
130	5.115298999
131	5.110672107
132	5.104649512
133	5.097665537
134	5.092013424
135	5.084019587
136	5.076852589
137	5.072496207
138	5.069163601
139	5.063959204
140	5.058237946
141	5.052560225
142	5.045427557
143	5.041194398
144	5.037935438
145	5.033105118
146	5.027026923
147	5.023374206
148	5.018519317
149	5.016540429
150	5.009931163
151	5.003712039
152	4.998976661
153	4.996026013
154	4.993438718
155	4.989573143
156	4.985583003
157	4.98273992
158	4.980085641
159	4.976917809
160	4.971726007
161	4.966698002
162	4.963617993
163	4.959999555
164	4.957713972
165	4.953414704
166	4.950012432
167	4.945312224
168	4.943464542
169	4.939862286
170	4.93723485
171	4.935243311
172	4.929078124
173	4.925344571
174	4.923554096
175	4.918072645
176	4.916123703
177	4.911878707
178	4.906739816
179	4.903980891
180	4.896773028
181	4.892220731
182	4.887272673
183	4.882885617
184	4.880222116
185	4.876554795
186	4.87480808
187	4.870635707
188	4.865025415
189	4.86166772
190	4.85777336
191	4.852689006
192	4.847127829
193	4.843793542
194	4.8392022
195	4.836989377
196	4.832643064
197	4.830666253
198	4.825951398
199	4.820610412
200	4.818252396
201	4.816201574
202	4.812813824
203	4.810174448
204	4.806342968
205	4.802592316
206	4.79851217
207	4.79082186
208	4.785281661
209	4.781464796
210	4.777033311
211	4.774152712
212	4.769932794
213	4.764327953
214	4.761539122
215	4.758712939
216	4.754161615
217	4.749767156
218	4.747048974
219	4.74558836
220	4.740284298
221	4.734858326
222	4.731336792
223	4.726309887
224	4.71930447
225	4.715435462
226	4.708985508
227	4.707136378
228	4.702543895
229	4.700506726
230	4.697069353
231	4.694308886
232	4.692199785
233	4.687133142
234	4.683601352
235	4.679211734
236	4.675136094
237	4.673258564
238	4.67099128
239	4.665351964
240	4.662712161
241	4.658727408
242	4.655389599
243	4.653968277
244	4.648679304
245	4.643096935
246	4.640484513
247	4.638762518
248	4.636920227
249	4.63322099
250	4.631651975
251	4.630143851
252	4.625091575
253	4.61959492
254	4.61717267
255	4.615131316
256	4.609099325
257	4.607163617
258	4.603250539
259	4.599854146
260	4.598298828
261	4.593482774
262	4.58957584
263	4.58464276
264	4.581124353
265	4.580035538
266	4.57940788
267	4.577626842
268	4.572340463
269	4.571240586
270	4.569995107
271	4.565100624
272	4.564135991
273	4.557434634
274	4.552778314
275	4.547494061
276	4.545937581
277	4.543693367
278	4.538022825
279	4.534662722
280	4.533235444
281	4.53267145
282	4.527345747
283	4.524897658
284	4.523651888
285	4.518388543
286	4.512633281
287	4.506398899
288	4.501423775
289	4.496886844
290	4.4952294
291	4.491022203
292	4.48991153
293	4.484417685
294	4.482193713
295	4.47799856
296	4.473850275
297	4.468174062
298	4.463938668
299	4.459509279
300	4.458184259
301	4.452979933
302	4.45168427
303	4.445726144
304	4.441278992
305	4.435679086
306	4.430993433
307	4.427182214
308	4.422796272
309	4.418863623
310	4.413868807
311	4.411778099
312	4.41037865
313	4.406761329
314	4.400159002
315	4.396807357
316	4.393762946
317	4.393357223
318	4.392018996
319	4.387695497
320	4.386900187
321	4.385617356
322	4.382044611
323	4.378888559
324	4.373211161
325	4.369444714
326	4.36641785
327	4.362119334
328	4.358215467
329	4.353126314
330	4.348385445
331	4.342593264
332	4.340509408
333	4.33861932
334	4.334967198
335	4.333850034
336	4.330145566
337	4.328626679
338	4.325197429
339	4.322552203
340	4.320468726
341	4.315960253
342	4.31318688
343	4.311169147
344	4.310339001
345	4.3050875
346	4.301063275
347	4.296360771
348	4.295804822
349	4.291671361
350	4.289178886
351	4.288562739
352	4.288105235
353	4.2837384
354	4.277964485
355	4.274959924
356	4.274037055
357	4.273514064
358	4.269223447
359	4.268411024
360	4.267828227
361	4.263625107
362	4.260103673
363	4.254842035
364	4.249642219
365	4.247003368
366	4.241637082
367	4.23876248
368	4.234463602
369	4.233588194
370	4.229183891
371	4.226687859
372	4.225882138
373	4.225631917
374	4.220958901
375	4.218030592
376	4.212534411
377	4.207804279
378	4.203137907
379	4.20235018
380	4.198408827
381	4.19498178
382	4.192338042
383	4.187495805
384	4.185940511
385	4.182980997
386	4.180238322
387	4.17986132
388	4.17598792
389	4.174880552
390	4.174118241
391	4.17163695
392	4.168312506
393	4.164887102
394	4.160240731
395	4.15989742
396	4.155672108
397	4.155144004
398	4.149605311
399	4.14935124
400	4.148425101
401	4.144740335
402	4.141654085
403	4.140941523
404	4.136451091
405	4.131960336
406	4.128433494
407	4.124442843
408	4.124189274
409	4.12327259
410	4.122586861
411	4.118422311
412	4.115306367
413	4.113463229
414	4.108744641
415	4.103416394
416	4.100491499
417	4.097208983
418	4.095238921
419	4.093143005
420	4.089874111
421	4.089231151
422	4.086703037
423	4.084416284
424	4.080980829
425	4.076562169
426	4.074409302
427	4.072676777
428	4.072151899
429	4.069947812
430	4.069754231
431	4.066804306
432	4.065034724
433	4.063720352
434	4.060844161
435	4.057498415
436	4.053561847
437	4.052664709
438	4.048081752
439	4.044733715
440	4.042785703
441	4.038209577
442	4.034554057
443	4.033724394
444	4.031397478
445	4.027707347
446	4.025593112
447	4.022427987
448	4.021517003
449	4.019872179
450	4.016728292
451	4.013579171
452	4.009288881
453	4.007278074
454	4.004600993
455	4.000595891
456	3.997167857
457	3.995035196
458	3.992751642
459	3.990470819
460	3.98759406
461	3.983740529
462	3.980904899
463	3.978727286
464	3.976547444
465	3.973535855
466	3.969841127
467	3.969623225
468	3.967293975
469	3.964416766
470	3.960553696
471	3.958700506
472	3.955977049
473	3.955810671
474	3.953112414
475	3.9501451
476	3.947766873
477	3.945243077
478	3.944509431
479	3.941781294
480	3.939191376
481	3.936269064
482	3.935857189
483	3.932857285
484	3.927869249
485	3.925897985
486	3.923605965
487	3.92008929
488	3.916892242
489	3.916801125
490	3.914029595
491	3.912787167
492	3.910271069
493	3.905860495
494	3.904944517
495	3.902836049
496	3.900404714
497	3.896781989
498	3.894905333
499	3.891958787
500	3.890286943
501	3.889718819
502	3.887744366
503	3.885959558
504	3.884249328
505	3.882112603
506	3.879127475
507	3.878064326
508	3.875773732
509	3.875214605
510	3.871011011
511	3.868513104
512	3.867563517
513	3.865102167
514	3.863959336
515	3.86203201
516	3.859316934
517	3.857953209
518	3.856482787
519	3.853878301
520	3.850947225
521	3.847018678
522	3.8456586
523	3.84332612
524	3.843221175
525	3.841806564
526	3.841207971
527	3.838130011
528	3.8369104
529	3.832855473
530	3.831154212
531	3.828890956
532	3.827202787
533	3.826645271
534	3.823275056
535	3.822138759
536	3.820532189
537	3.819564728
538	3.8155236
539	3.813465008
540	3.809081609
541	3.808111152
542	3.807940849
543	3.804805062
544	3.803435861
545	3.801998276
546	3.801860026
547	3.799104842
548	3.795955211
549	3.794158763
550	3.793856588
551	3.790631411
552	3.787779259
553	3.785863483
554	3.784356301
555	3.78383486
556	3.783626237
557	3.781257209
558	3.777976833
559	3.77725934
560	3.776159875
561	3.773994877
562	3.77175063
563	3.768249652
564	3.76562382
565	3.763508157
566	3.761863991
567	3.760400345
568	3.758241091
569	3.757882777
570	3.754293103
571	3.751170688
572	3.751036673
573	3.749654641
574	3.747650184
575	3.745123966
576	3.743272933
577	3.741363668
578	3.738117212
579	3.734535881
580	3.732761303
581	3.729975136
582	3.728583359
583	3.725014991
584	3.724884312
585	3.722378211
586	3.721346126
587	3.719281259
588	3.716190285
589	3.715242443
590	3.711647143
591	3.71117352
592	3.709042474
593	3.706932984
594	3.705024184
595	3.703758185
596	3.702230146
597	3.700235673
598	3.696876293
599	3.694064333
600	3.692329165
601	3.688451058
602	3.686840913
603	3.685408762
604	3.685323805
605	3.682867573
606	3.681225741
607	3.67987178
608	3.677026897
609	3.673857881
610	3.670916949
611	3.670810117
612	3.668285357
613	3.664898184
614	3.662871269
615	3.661581649
616	3.657372904
617	3.655491557
618	3.654848873
619	3.654573675
620	3.652641642
621	3.652201302
622	3.649163991
623	3.647317828
624	3.645982482
625	3.644438983
626	3.64112106
627	3.640592206
628	3.639483121
629	3.639061961
630	3.63741008
631	3.6334194
632	3.633183078
633	3.631386375
634	3.630668796
635	3.628797187
636	3.623275113
637	3.621064122
638	3.617576822
639	3.615997821
640	3.613264769
641	3.611604315
642	3.608549684
643	3.605889124
644	3.602651429
645	3.602256699
646	3.599723062
647	3.597713998
648	3.596482618
649	3.595614474
650	3.594305204
651	3.592045053
652	3.588583885
653	3.588119753
654	3.585641127
655	3.582901471
656	3.582361462
657	3.582000804
658	3.579601687
659	3.578483033
660	3.576493524
661	3.575124922
662	3.574979864
663	3.572218194
664	3.569564903
665	3.567441508
666	3.565542582
667	3.563441868
668	3.560226068
669	3.555872887
670	3.555393076
671	3.552158288
672	3.550496414
673	3.548256126
674	3.545620734
675	3.542915965
676	3.540490724
677	3.538209628
678	3.535565087
679	3.533129867
680	3.531780389
681	3.526668948
682	3.526230846
683	3.523481158
684	3.522826773
685	3.51965357
686	3.517448598
687	3.515370988
688	3.51504585
689	3.513905212
690	3.512643375
691	3.51251865
692	3.511349671
693	3.508338478
694	3.507476876
695	3.505924161
696	3.504629487
697	3.503828682
698	3.500617346
699	3.498416001
700	3.495159782
701	3.492770479
702	3.489690369
703	3.488399831
704	3.487471692
705	3.48627495
706	3.483297691
707	3.483167285
708	3.481604508
709	3.480361751
710	3.477557756
711	3.477216126
712	3.474189255
713	3.47217951
714	3.472076558
715	3.470701944
716	3.470615246
717	3.467454133
718	3.467248234
719	3.466892176
720	3.465690327
721	3.463199097
722	3.460772549
723	3.45935118
724	3.45733149
725	3.456996549
726	3.45441003
727	3.45228505
728	3.450081743
729	3.447834069
730	3.445711332
731	3.442808533
732	3.440629293
733	3.439567219
734	3.435039584
735	3.43324263
736	3.430860179
737	3.428948005
738	3.427987517
739	3.426399866
740	3.425243162
741	3.422523722
742	3.420448561
743	3.418983255
744	3.418039205
745	3.416332426
746	3.41525073
747	3.412961157
748	3.411260894
749	3.408658074
750	3.408530039
751	3.405596917
752	3.403784407
753	3.401569599
754	3.400682245
755	3.398335163
756	3.396316807
757	3.396220894
758	3.393692513
759	3.391685617
760	3.388938517
761	3.386896112
762	3.386025286
763	3.384781082
764	3.383486989
765	3.380869054
766	3.379677588
767	3.379395096
768	3.376905701
769	3.375822036
770	3.375511192
771	3.373530662
772	3.37197251
773	3.369226215
774	3.367864312
775	3.365259949
776	3.364201277
777	3.363053234
778	3.361589396
779	3.359846536
780	3.35952915
781	3.359186044
782	3.358193227
783	3.356372037
784	3.353907627
785	3.352318192
786	3.350208007
787	3.347950474
788	3.346445258
789	3.345301117
790	3.343665073
791	3.341010201
792	3.338650625
793	3.338056521
794	3.336015356
795	3.334856285
796	3.333591152
797	3.333511758
798	3.333295455
799	3.33028914
800	3.329413542
801	3.328052475
802	3.324962273
803	3.322715859
804	3.321573917
805	3.321503108
806	3.320392806
807	3.318036691
808	3.316656991
809	3.316596217
810	3.316048805
811	3.315761259
812	3.313693554
813	3.311223848
814	3.309962411
815	3.308917237
816	3.306161202
817	3.303856996
818	3.302585777
819	3.299336604
820	3.297254661
821	3.29632119
822	3.295695612
823	3.293249543
824	3.290943316
825	3.288912188
826	3.288232894
827	3.287677491
828	3.286214188
829	3.285705876
830	3.285596346
831	3.283667885
832	3.282564467
833	3.280804697
834	3.278048481
835	3.275862814
836	3.274875015
837	3.273139373
838	3.272390151
839	3.269998664
840	3.266701991
841	3.264731477
842	3.263269025
843	3.260909426
844	3.259013411
845	3.257795516
846	3.256094356
847	3.252694222
848	3.252602966
849	3.250690557
850	3.248270657
851	3.245809586
852	3.24484024
853	3.243304324
854	3.241040684
855	3.23882251
856	3.237908545
857	3.236079997
858	3.234255314
859	3.232725895
860	3.228808306
861	3.228734561
862	3.224481486
863	3.223458772
864	3.222074041
865	3.219689276
866	3.21820889
867	3.217107362
868	3.21488329
869	3.214811149
870	3.21258855
871	3.212106938
872	3.209236805
873	3.207529379
874	3.205331977
875	3.203890742
876	3.20376595
877	3.201823238
878	3.201356613
879	3.199176656
880	3.197228281
881	3.196690813
882	3.196619597
883	3.194390895
884	3.193540097
885	3.19133053
886	3.189602622
887	3.187439227
888	3.186736826
889	3.185545875
890	3.183566363
891	3.181402149
892	3.18072879
893	3.179320728
894	3.17751516
895	3.176478173
896	3.174112194
897	3.17108796
898	3.168624152
899	3.166223855
900	3.164869146
901	3.164514113
902	3.160677686
903	3.160140802
904	3.157706773
905	3.156168369
906	3.152646707
907	3.150491003
908	3.149547202
909	3.148194836
910	3.147910838
911	3.147844444
912	3.146648565
913	3.144495743
914	3.143602237
915	3.142778781
916	3.142002075
917	3.141925816
918	3.141402862
919	3.139884877
920	3.138890912
921	3.137622083
922	3.137178326
923	3.135315191
924	3.134012989
925	3.13384822
926	3.132555367
927	3.131662909
928	3.130820246
929	3.128711808
930	3.127309775
931	3.126042118
932	3.123988735
933	3.12270107
934	3.120454955
935	3.119044616
936	3.118047974
937	3.115692077
938	3.113188514
939	3.112745951
940	3.111664498
941	3.109857754
942	3.109381403
943	3.109322289
944	3.108053164
945	3.105820038
946	3.102982499
947	3.101856697
948	3.09918011
949	3.097926255
950	3.096574643
951	3.095070731
952	3.094502401
953	3.094366179
954	3.092894007
955	3.090800452
956	3.090196233
957	3.087689725
958	3.087168566
959	3.084932833
960	3.082531502
961	3.081246536
962	3.080980687
963	3.080166886
964	3.079328052
965	3.076423469
966	3.076175239
967	3.074439612
968	3.073823783
969	3.071540549
970	3.070874931
971	3.069343425
972	3.067754051
973	3.06765966
974	3.066133468
975	3.065466672
976	3.063138989
977	3.061556032
978	3.058522703
979	3.055880445
980	3.055807101
981	3.054171016
982	3.053591593
983	3.052913857
984	3.050917046
985	3.050679809
986	3.049895836
987	3.047106597
988	3.045991279
989	3.04509192
990	3.044000765
991	3.042128374
992	3.041890409
993	3.039236395
994	3.037466841
995	3.03739171
996	3.036189341
997	3.032822231
998	3.031522419
999	3.031470233
